"","Course Code","Course Name","Course Description","Credit Amount","Antirequisite","Corequisite","Prerequisite","Recommended Preperation","Hours","Lecture","Lab","Seminar","Tutorial","Breadth Requirement","Distribution Requirement","Delivery Format","Note"
"1","CSC104H1","Computational Thinking","Humans have solved problems for millennia on computing devices by representing data as diverse numbers, text, images, sound and genomes, and then transforming the data. A gentle introduction to designing programs (recipes) for systematically solving problems that crop up in diverse domains such as science, literature, and graphics. Social and intellectual issues raised by computing. Algorithms, hardware, software, operating systems, the limits of computation.  ",3,"JCC250H1; Any CSC course except CSC196H1, CSC197H1, CSC199H1, AP, IB, CAPE or GCE Transfer Credits.","","","","24L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class","you may not take this course concurrently with any Computer Science course, but you may take CSC108H1/ CSC148H1 after CSC104H1."
"2","CSC108H1","Introduction to Computer Programming","Programming in a language such as Python. Elementary data types, lists, maps. Program structure: control flow, functions, classes, objects, methods. Algorithms and problem solving. Searching, sorting, and complexity. Unit testing. No prior programming experience required. ",3,"CSC110Y1, CSC111H1, CSC120H1, CSC121H1, CSC148H1, CSC108H5, CSC148H5, CSCA08H3, CSCA20H3, CSCA48H3","","","","36L",TRUE,FALSE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","Online, In Class","You may take CSC148H1 after CSC108H1. You may not take CSC108H1 in the same term as, or after taking, any of CSC110Y1/ CSC111H1/ CSC120H1/ CSC148H1."
"3","CSC110Y1","Foundations of Computer Science I","An introduction to the field of computer science combining the tools and techniques of programming (using the Python programming language) with rigorous mathematical analysis and reasoning. Topics include: data representations; program control flow (conditionals, loops, exceptions, functions); mathematical logic and formal proof; algorithms and running time analysis; software engineering principles (formal specification and design, testing and verification). Prior programming experience is not required to succeed in this course. This course is restricted to students in the first year Computer Science admission stream, and is only offered in the Fall term. Other students planning to pursue studies in computer science should enrol in CSC108H1, CSC148H1, and CSC165H1/ CSC240H1. ",6,"CSC108H1, CSC148H1, CSC165H1","","","","72L/24P",TRUE,TRUE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"4","CSC111H1","Foundations of Computer Science II","A continuation of CSC110Y1 to extend principles of programming and mathematical analysis to further topics in computer science. Topics include: object-oriented programming (design principles, encapsulation, composition and inheritance); binary representation of numbers; recursion and mathematical induction; abstract data types and data structures (stacks, queues, linked lists, trees, graphs); the limitations of computation. This course is restricted to students in the first year Computer Science admission stream, and is only offered in the Winter term. Other students planning to pursue studies in computer science should enrol in CSC108H1, CSC148H1, and CSC165H1/ CSC240H1. ",3,"CSC108H1, CSC148H1, CSC165H1","","CSC110Y1 (70% or higher)","","36L/24P",TRUE,TRUE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"5","CSC120H1","Computer Science for the Sciences","An introduction to computer science for students in other sciences, with an emphasis on gaining practical skills. Introduction to programming with examples and exercises appropriate to the sciences; web programming; software tools. Topics from: database design, considerations in numerical calculation, using UNIX/LINUX systems. At the end of this course you will be able to develop computer tools for scientific applications, such as the structuring and analysis of experimental data. With some additional preparation, you will also be ready to go on to CSC148H1. Practical (P) sections consist of supervised work in the computer laboratory. No programming experience is necessary. ",3,"Any CSC course, with the exception of CSC104H1","","","","36L/12P",TRUE,TRUE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"6","CSC148H1","Introduction to Computer Science","Abstract data types and data structures for implementing them. Linked data structures. Encapsulation and information-hiding. Object-oriented programming. Specifications. Analyzing the efficiency of programs. Recursion. This course assumes programming experience as provided by CSC108H1. Students who already have this background may consult the Computer Science Undergraduate Office for advice about skipping CSC108H1. Practical (P) sections consist of supervised work in the computing laboratory. These sections are offered when facilities are available, and attendance is required.  ",3,"CSC111H1, CSC207H1, CSC148H5, CSC207H5, CSCA48H3, CSCB07H3","","CSC108H1 or(equivalent programming experience)","","36L/24P",TRUE,TRUE,FALSE,FALSE,"The Physical and Mathematical Universes (5)","Science","In Class","Students may go to their college to drop down from CSC148H1 to CSC108H1. See above for the drop down deadline."
"7","CSC165H1","Mathematical Expression and Reasoning for Computer Science","Introduction to abstraction and rigour. Informal introduction to logical notation and reasoning. Understanding, using and developing precise expressions of mathematical ideas, including definitions and theorems. Structuring proofs to improve presentation and comprehension. General problem-solving techniques. Running time analysis of iterative programs. Formal definition of Big-Oh. Diagonalization, the Halting Problem, and some reductions. Unified approaches to programming and theoretical problems. ",3,"CSC111H1, CSC236H1, CSC240H1, MAT102H5, CSC236H5, CSCA67H3, MATA67H3, CSCB36H3","CSC108H1 or CSC120H1 or(equivalent programming experience)","","","36L/12T",TRUE,FALSE,FALSE,TRUE,"The Physical and Mathematical Universes (5)","Science","In Class",""
"8","CSC196H1","Great Ideas in Computing","We will pursue the general (and very debatable) theme of GREAT IDEAS in COMPUTING (including some surprising algorithms). The ambitious goal is to try to identify some of the great ideas that have significantly influenced the field and have helped to make computing so pervasive. We will concentrate on mathematical, algorithmic and software ideas with the understanding that the importance and usefulness of these ideas depends upon (and often parallels) the remarkable ideas and progress in computing and communications hardware. As we will see, many of the great ideas were against the ""prevailing opinion"". The list of topics we shall discuss will depend to some degree on the background and interests of the class. Restricted to first-year students. Not eligible for CR/NCR option. ",3,"","","","Some knowledge of probability theory","36L",TRUE,FALSE,FALSE,FALSE,"Society and its Institutions (3)","Science","In Class",""
"9","CSC197H1","What, Who, How: Privacy in the Age of Big Data Collection","The rapid advance of technology has brought remarkable changes to how we conduct our daily lives, from how we communicate, consume news and data, and purchase goods. As we increase our online activity, so too do we increase the amount of personal data that we're sharing, often without realizing it. The questions of exactly what data is being collected, who is collecting and accessing this data, and how this data is being used, have significant implications for both individuals and our larger social and political institutions. Organized by a wide variety of case studies drawn from current events, we'll study how personal data can be collected and tracked, how personal and social factors may influence our own decisions about whether and how much to share our data, and what broader political and legal tools are used to either protect or subvert individual privacy. Restricted to first-year students. Not eligible for CR/NCR option. ",3,"","","","","24S",FALSE,FALSE,TRUE,FALSE,"Society and its Institutions (3)","Social Science","In Class",""
"10","CSC199H1","Intelligence, Artificial and Human","What is human intelligence? How close are we to replicating it? How productive/reductive is the brain-computer analogy? What ethical challenges are posed by AI on workers, society, and the environment? Can we put a hold on ""progress""? Is Silicon Valley the seat of a new techno-religion? What can they teach us about today's research priorities? What insight (or inspiration) can we get from works of science fiction about the future of human-AI interaction? Through reading discussion, written assignment, and workshops, this seminar will present students with the opportunity to integrate their computer science interests with philosophy, history, and literature. There is an equivalent course offered by St. Michael’s College. Students may take one or the other but not both. Restricted to first-year students. Not eligible for CR/NCR option. ",3,"SMC199H1 (Intelligence, Artificial and Human)","","","","24S",FALSE,FALSE,TRUE,FALSE,"Society and its Institutions (3)","Science","In Class",""
